168. lambda=21122.745, adding coordinate 400, |B|=4...
169. lambda=21014.274, deleting coordinate 399, |B|=3...
170. lambda=20789.214, deleting coordinate 400, |B|=2...
171. lambda=20783.058, adding coordinate 394, |B|=3...
172. lambda=20635.125, deleting coordinate 395, |B|=2...
173. lambda=20519.350, adding coordinate 392, |B|=3...
174. lambda=20222.547, deleting coordinate 394, |B|=2...
175. lambda=20191.068, adding coordinate 390, |B|=3...
176. lambda=19892.867, deleting coordinate 392, |B|=2...
177. lambda=19865.958, adding coordinate 389, |B|=3...
178. lambda=19715.710, deleting coordinate 390, |B|=2...
179. lambda=19577.756, adding coordinate 388, |B|=3...
180. lambda=19426.098, deleting coordinate 389, |B|=2...
181. lambda=19331.376, adding coordinate 387, |B|=3...
182. lambda=19179.275, deleting coordinate 388, |B|=2...
183. lambda=19119.865, adding coordinate 386, |B|=3...
184. lambda=18966.796, deleting coordinate 387, |B|=2...
185. lambda=18803.041, adding coordinate 141, |B|=3...
186. lambda=18761.185, adding coordinate 383, |B|=4...
187. lambda=18252.375, deleting coordinate 386, |B|=3...
188. lambda=18222.429, deleting coordinate 142, |B|=2...
189. lambda=18168.461, adding coordinate 382, |B|=3...
190. lambda=18012.842, deleting coordinate 383, |B|=2...
191. lambda=17951.873, adding coordinate 380, |B|=3...
192. lambda=17640.442, deleting coordinate 382, |B|=2...
193. lambda=17418.433, adding coordinate 379, |B|=3...
194. lambda=17260.050, deleting coordinate 380, |B|=2...
195. lambda=17166.669, adding coordinate 377, |B|=3...
196. lambda=16850.521, deleting coordinate 379, |B|=2...
197. lambda=16806.836, adding coordinate 376, |B|=3...
198. lambda=16646.899, deleting coordinate 377, |B|=2...
199. lambda=16548.999, adding coordinate 374, |B|=3...
200. lambda=16229.358, deleting coordinate 376, |B|=2...
201. lambda=16226.757, adding coordinate 360, |B|=3...
202. lambda=16183.587, adding coordinate 376, |B|=4...
203. lambda=15711.462, deleting coordinate 374, |B|=3...
204. lambda=15710.520, adding coordinate 359, |B|=4...
205. lambda=15665.182, deleting coordinate 360, |B|=3...
206. lambda=14312.142, adding coordinate 377, |B|=4...
207. lambda=14243.177, deleting coordinate 376, |B|=3...
208. lambda=14134.146, adding coordinate 358, |B|=4...
209. lambda=14003.601, deleting coordinate 359, |B|=3...
210. lambda=13613.280, adding coordinate 379, |B|=4...
211. lambda=13580.481, deleting coordinate 377, |B|=3...
212. lambda=13397.558, deleting coordinate 379, |B|=2...
213. lambda=13376.944, adding coordinate 357, |B|=3...
214. lambda=13205.334, deleting coordinate 358, |B|=2...
215. lambda=13163.934, adding coordinate 136, |B|=3...
216. lambda=13109.911, adding coordinate 354, |B|=4...
217. lambda=12562.209, deleting coordinate 357, |B|=3...
218. lambda=12552.892, adding coordinate 352, |B|=4...
219. lambda=12186.089, deleting coordinate 354, |B|=3...
220. lambda=12116.551, adding coordinate 351, |B|=4...
221. lambda=11931.989, deleting coordinate 352, |B|=3...
222. lambda=11901.725, adding coordinate 350, |B|=4...
223. lambda=11716.624, deleting coordinate 351, |B|=3...
224. lambda=11693.167, adding coordinate 349, |B|=4...
225. lambda=11508.440, deleting coordinate 350, |B|=3...
226. lambda=11421.440, adding coordinate 348, |B|=4...
227. lambda=11235.896, deleting coordinate 349, |B|=3...
228. lambda=11183.024, adding coordinate 347, |B|=4...
229. lambda=10997.712, deleting coordinate 348, |B|=3...
230. lambda=10961.420, adding coordinate 346, |B|=4...
231. lambda=10775.536, deleting coordinate 347, |B|=3...
232. lambda=10755.876, adding coordinate 345, |B|=4...
233. lambda=10635.897, adding coordinate 135, |B|=5...
234. lambda=10571.133, deleting coordinate 346, |B|=4...
235. lambda=10536.215, deleting coordinate 136, |B|=3...
236. lambda=10518.088, adding coordinate 344, |B|=4...
237. lambda=10331.012, deleting coordinate 345, |B|=3...
238. lambda=10307.265, adding coordinate 341, |B|=4...
239. lambda=9753.202, deleting coordinate 344, |B|=3...
240. lambda=9730.640, adding coordinate 340, |B|=4...
241. lambda=9544.023, deleting coordinate 341, |B|=3...
242. lambda=9533.074, adding coordinate 336, |B|=4...
243. lambda=9080.951, adding coordinate 331, |B|=5...
244. lambda=8955.230, adding coordinate 329, |B|=6...
245. lambda=8900.216, deleting coordinate 331, |B|=5...
246. lambda=8650.492, deleting coordinate 336, |B|=4...
247. lambda=8575.584, adding coordinate 341, |B|=5...
248. lambda=8451.462, adding coordinate 328, |B|=6...
249. lambda=8350.145, deleting coordinate 329, |B|=5...
250. lambda=8327.756, deleting coordinate 340, |B|=4...
251. lambda=8009.881, adding coordinate 344, |B|=5...
252. lambda=7818.442, deleting coordinate 341, |B|=4...
253. lambda=7787.679, adding coordinate 305, |B|=5...
254. lambda=7688.396, adding coordinate 341, |B|=6...
255. lambda=7639.798, adding coordinate 304, |B|=7...
256. lambda=7630.899, deleting coordinate 305, |B|=6...
257. lambda=7581.770, adding coordinate 303, |B|=7...
258. lambda=7569.995, deleting coordinate 304, |B|=6...
259. lambda=7039.705, deleting coordinate 344, |B|=5...
260. lambda=6977.827, adding coordinate 302, |B|=6...
261. lambda=6932.148, deleting coordinate 303, |B|=5...
262. lambda=6487.636, adding coordinate 300, |B|=6...
263. lambda=6353.574, deleting coordinate 302, |B|=5...
264. lambda=6312.109, adding coordinate 294, |B|=6...
265. lambda=5975.185, adding coordinate 302, |B|=7...
266. lambda=5959.568, deleting coordinate 300, |B|=6...
267. lambda=5939.856, deleting coordinate 302, |B|=5...
268. lambda=5935.872, adding coordinate 293, |B|=6...
269. lambda=5866.386, deleting coordinate 294, |B|=5...
270. lambda=5704.961, adding coordinate 329, |B|=6...
271. lambda=5678.995, deleting coordinate 328, |B|=5...
272. lambda=5652.754, adding coordinate 289, |B|=6...
273. lambda=5368.018, adding coordinate 328, |B|=7...
274. lambda=5362.531, deleting coordinate 293, |B|=6...
275. lambda=5362.005, deleting coordinate 328, |B|=5...
276. lambda=5357.421, adding coordinate 288, |B|=6...
277. lambda=5279.408, deleting coordinate 289, |B|=5...
278. lambda=5129.513, deleting coordinate 329, |B|=4...
279. lambda=5086.451, adding coordinate 344, |B|=5...
280. lambda=4992.302, adding coordinate 287, |B|=6...
281. lambda=4905.089, deleting coordinate 288, |B|=5...
282. lambda=4785.863, adding coordinate 739, |B|=6...
283. lambda=4665.076, deleting coordinate 341, |B|=5...
284. lambda=4640.130, adding coordinate 345, |B|=6...
285. lambda=4631.490, adding coordinate 285, |B|=7...
286. lambda=4445.348, deleting coordinate 287, |B|=6...
287. lambda=4424.340, adding coordinate 284, |B|=7...
288. lambda=4333.368, deleting coordinate 344, |B|=6...
289. lambda=4328.897, deleting coordinate 285, |B|=5...
290. lambda=4222.774, adding coordinate 276, |B|=6...
291. lambda=4193.116, adding coordinate 142, |B|=7...
292. lambda=4169.494, adding coordinate 271, |B|=8...
293. lambda=4160.146, adding coordinate 346, |B|=9...
294. lambda=4141.891, deleting coordinate 276, |B|=8...
295. lambda=4124.368, adding coordinate 269, |B|=9...
296. lambda=4109.004, deleting coordinate 271, |B|=8...
297. lambda=4007.208, adding coordinate 268, |B|=9...
298. lambda=3992.749, deleting coordinate 141, |B|=8...
299. lambda=3990.969, deleting coordinate 269, |B|=7...
300. lambda=3931.647, adding coordinate 267, |B|=8...
301. lambda=3910.425, deleting coordinate 268, |B|=7...
302. lambda=3634.054, adding coordinate 266, |B|=8...
303. lambda=3630.748, deleting coordinate 135, |B|=7...
304. lambda=3629.587, adding coordinate 264, |B|=8...
305. lambda=3623.459, deleting coordinate 266, |B|=7...
306. lambda=3506.363, deleting coordinate 267, |B|=6...
307. lambda=3469.856, adding coordinate 263, |B|=7...
308. lambda=3461.171, deleting coordinate 345, |B|=6...
309. lambda=3437.596, adding coordinate 262, |B|=7...
